qa_id,category,structure_correctness,structure_completeness,structure_faithfulness,fixed_correctness,fixed_completeness,fixed_faithfulness
qa_b6ae448e,plain_factual,5,5,3,5,2,5
qa_18e6babc,plain_factual,1,1,5,1,1,5
qa_1002abef,plain_factual,5,4,5,5,4,5
qa_e094826d,plain_factual,5,5,5,5,5,5
qa_1ff199a5,plain_factual,5,5,5,5,5,5
qa_1b6a6da1,plain_factual,5,4,5,5,5,5
qa_da0588bd,plain_factual,5,5,5,4,5,5
qa_08290649,plain_factual,5,5,5,1,1,5
qa_0696af1a,plain_factual,5,5,5,5,5,5
qa_308da2b3,plain_factual,5,5,5,5,5,5
qa_15fd7207,plain_factual,5,5,5,5,5,5
qa_2bd34877,plain_factual,5,5,5,5,5,5
qa_f8ff652a,plain_factual,1,1,5,1,1,5
qa_bb6a1336,plain_factual,5,5,5,5,5,5
qa_fc78eb5f,plain_factual,5,5,5,5,5,5
qa_22d5e23a,plain_factual,5,5,5,2,2,2
qa_f95376fd,plain_factual,5,4,5,5,4,4
qa_4469cdc1,plain_factual,5,5,5,5,5,5
qa_9b0b7496,plain_factual,5,5,5,1,1,5
qa_10fe6425,plain_factual,5,5,5,2,2,4
qa_fd00ac19,plain_factual,5,5,5,5,5,5
qa_5feb9566,plain_factual,5,5,5,5,5,5
qa_2a191b1a,plain_factual,1,1,5,1,1,5
qa_b71960ee,plain_factual,5,5,5,5,5,5
qa_151cc600,plain_factual,5,5,4,5,5,4
qa_c521189d,plain_factual,5,5,5,3,2,4
qa_e28dcbff,plain_factual,5,5,5,1,1,5
qa_68241afe,plain_factual,5,5,5,5,5,5
qa_2e019a2e,plain_factual,5,5,5,5,5,5
qa_d9ac0727,plain_factual,1,1,5,5,5,5
qa_7480ccc7,plain_factual,5,5,5,5,5,5
qa_c28e1c8f,plain_factual,5,5,5,5,5,4
qa_5b84a950,plain_factual,5,5,5,1,1,5
qa_b3915aac,plain_factual,5,5,5,1,1,5
qa_c396926a,plain_factual,5,5,5,5,5,5
qa_3441a92b,plain_factual,5,5,5,5,5,5
qa_8f665c70,plain_factual,5,5,5,5,5,5
qa_da4eb24b,plain_factual,5,5,5,5,5,5
qa_4c83b23e,plain_factual,5,5,5,5,5,4
qa_579250e5,plain_factual,5,5,5,5,5,5
qa_182f65c8,table_lookup,5,5,5,1,1,5
qa_01676693,table_lookup,5,5,5,5,5,5
qa_2e379186,table_lookup,5,5,5,1,1,5
qa_a194e760,table_lookup,5,5,5,5,5,5
qa_1c57c9d9,table_lookup,5,5,5,5,5,5
qa_d7ac11e2,table_lookup,4,5,5,5,5,5
qa_9a0d53bc,table_lookup,5,5,5,1,1,5
qa_bd776a04,table_lookup,5,5,5,5,5,5
qa_871fbb4d,table_lookup,1,1,5,5,5,5
qa_5c3c4237,table_lookup,5,5,5,1,1,5
qa_5e5b2468,table_lookup,1,1,1,2,5,2
qa_cab28255,table_lookup,5,5,5,1,1,5
qa_c2e946e9,table_lookup,5,5,5,1,1,5
qa_aab53a2d,table_lookup,5,5,5,5,5,5
qa_7cf35288,table_lookup,1,1,5,1,1,5
qa_e7c45203,table_lookup,5,5,5,5,5,5
qa_8f5d7d2a,table_lookup,1,1,5,1,1,1
qa_4c19233f,table_lookup,5,5,5,5,5,5
qa_840a72c1,table_lookup,5,5,5,1,1,5
qa_11888c45,table_lookup,5,5,5,5,5,5
qa_a45ba521,table_lookup,5,5,5,5,5,5
qa_01ced4ff,table_lookup,5,5,5,5,5,5
qa_91278123,table_lookup,5,5,5,5,5,5
qa_0e55baf3,table_lookup,5,5,5,1,1,5
qa_6cb95990,table_lookup,5,5,5,1,1,5
qa_f5799006,table_lookup,1,1,1,1,1,5
qa_f7f59b95,table_lookup,5,5,5,5,5,5
qa_58ff56de,table_lookup,5,5,5,5,5,5
qa_33fd755d,table_lookup,1,1,5,1,1,5
qa_dd1697e6,table_lookup,5,5,5,1,1,1
qa_34fd0668,table_lookup,5,5,5,5,5,5
qa_a6496b97,table_lookup,5,5,5,5,5,5
qa_824de719,table_lookup,5,5,5,1,1,5
qa_41d20505,table_lookup,5,5,5,5,5,5
qa_a7ffd97b,table_lookup,5,5,5,5,5,5
qa_0f8e23ac,table_lookup,1,1,5,1,1,5
qa_c38652e9,table_lookup,1,1,1,5,5,5
qa_43be1c48,table_lookup,5,5,5,1,1,5
qa_234a9d0b,table_lookup,5,5,5,1,1,5
qa_81b0a99f,table_lookup,5,5,5,5,5,5
qa_8d66033b,table_lookup,5,5,5,5,5,5
qa_18a0319c,table_lookup,5,5,5,5,5,5
qa_43fa148b,table_lookup,5,5,5,5,5,5
qa_15f27704,table_lookup,1,1,5,5,5,5
qa_c1aa778d,table_lookup,1,1,5,1,1,5
qa_7d2a3bc9,table_lookup,5,5,5,5,5,5
qa_8a342ba1,table_lookup,5,5,5,5,5,5
qa_15e72be3,table_lookup,5,5,5,5,5,5
qa_09eff7df,table_lookup,5,5,5,5,5,5
qa_f03ca276,table_lookup,5,5,5,5,5,5
qa_da7ee9c9,table_lookup,5,5,5,5,5,5
qa_ec3b045c,table_lookup,1,1,1,1,1,1
qa_2d19f68b,table_lookup,5,5,5,5,5,5
qa_3dc4527b,table_lookup,5,5,5,5,5,5
qa_9c9a8795,table_lookup,3,5,3,1,1,5
qa_863669ef,table_lookup,5,5,5,5,5,5
qa_247bea46,table_lookup,5,5,5,5,5,5
qa_3cd399cb,table_lookup,4,5,3,3,5,3
qa_17964cd8,figure_caption,5,5,5,5,5,5
qa_3d4a3c6b,figure_caption,5,5,5,5,5,5
qa_45dbbf3c,figure_caption,5,5,5,5,5,5
qa_19a6f479,figure_caption,5,5,5,5,5,5
qa_8ee1e8bb,figure_caption,5,5,5,1,1,5
qa_7da1f9a7,figure_caption,5,5,5,1,1,5
qa_a8405dab,figure_caption,5,5,5,5,5,5
qa_18da2200,figure_caption,5,5,5,1,1,5
qa_e634f50b,figure_caption,5,5,5,1,1,5
qa_1efd824b,figure_caption,5,5,5,5,5,5
qa_6294a633,figure_caption,5,5,5,1,1,5
qa_36ff2cbb,figure_caption,1,1,5,1,1,1
qa_837f3724,figure_caption,5,5,5,4,4,5
qa_940a4c18,figure_caption,5,5,5,5,5,5
qa_6ee3cce7,figure_caption,5,5,5,5,5,5
qa_a7d56d97,figure_caption,5,5,5,5,5,5
qa_060a32b7,figure_caption,5,5,5,5,5,5
qa_33ac88ae,figure_caption,5,5,5,5,5,5
qa_4db3013b,figure_caption,1,1,5,1,1,5
qa_e0cdcfc9,figure_caption,5,5,5,5,5,5
qa_98ed1fb6,figure_caption,5,5,5,5,5,5
qa_1f649d41,figure_caption,5,5,5,5,5,5
qa_45267c0c,figure_caption,5,5,5,5,5,5
qa_3c6ce813,figure_caption,5,4,5,1,1,5
qa_49285979,figure_caption,5,5,5,1,1,5
qa_48f50c38,figure_caption,1,1,5,1,1,5
qa_b4123ae0,figure_caption,5,5,5,5,5,4
qa_1570c8be,figure_caption,5,5,5,1,1,5
qa_96c705bd,figure_caption,5,5,5,5,5,5
qa_92bc25af,figure_caption,5,5,5,5,5,5
qa_ed6048b3,figure_caption,1,1,5,1,1,5
qa_9bb19422,figure_caption,5,5,5,5,5,5
qa_368934bf,figure_caption,5,5,5,5,5,5
qa_3cd43700,figure_caption,5,4,5,1,1,5
qa_91af4662,figure_caption,1,1,5,1,1,5
qa_6f70476f,figure_caption,1,1,5,1,1,5
qa_e3e777aa,figure_caption,1,1,5,4,5,5
qa_aec571d5,figure_caption,5,5,5,5,5,5
qa_c292572a,figure_caption,5,5,5,5,5,5
qa_b33c14e2,figure_caption,1,1,5,1,1,5
qa_d0cff9c5,multi_hop_comparative,1,1,5,3,3,5
qa_f787c76c,multi_hop_comparative,1,1,5,1,1,5
qa_19b65b20,multi_hop_comparative,5,4,5,5,4,5
qa_79c96662,multi_hop_comparative,1,1,5,1,1,5
qa_91690221,multi_hop_comparative,5,5,5,1,1,5
qa_69eaf292,multi_hop_comparative,5,5,5,1,1,5
qa_76ad788e,table_lookup,1,1,5,1,1,5
qa_edb29180,table_lookup,5,5,5,5,5,5
qa_814555b0,multi_hop_comparative,1,1,5,1,1,5
qa_837e750d,multi_hop_comparative,1,1,5,3,3,5
qa_7075f620,multi_hop_comparative,5,5,5,1,1,5
qa_b8c036b5,multi_hop_comparative,1,1,5,5,2,5
qa_e9d799b7,multi_hop_comparative,5,4,5,5,5,5
qa_39c79819,multi_hop_comparative,1,1,5,4,3,5
qa_6d8f3667,multi_hop_comparative,1,1,5,1,1,5
qa_93b807fd,multi_hop_comparative,1,1,5,1,1,5
qa_8b26ae26,multi_hop_comparative,1,1,5,1,1,5
qa_dd440f13,multi_hop_comparative,1,1,5,1,1,5
qa_928bd1fe,multi_hop_comparative,5,4,5,5,5,4
qa_7ccc10aa,multi_hop_comparative,1,1,5,1,1,5
qa_98ab74d6,multi_hop_comparative,5,5,5,1,1,5
qa_ad6402ca,multi_hop_comparative,1,1,5,5,5,5
qa_ef96090d,multi_hop_comparative,1,1,5,1,1,5
qa_a4f63f03,multi_hop_comparative,1,1,5,5,5,5
qa_b5409761,multi_hop_comparative,1,1,5,1,1,5
qa_f97ff7d3,multi_hop_comparative,4,4,4,2,2,3
qa_bda94134,multi_hop_comparative,5,5,5,1,1,5
qa_df71dfce,multi_hop_comparative,1,1,5,1,1,1
qa_c0d31d26,multi_hop_comparative,1,1,5,1,1,4
qa_55208b02,multi_hop_comparative,4,3,5,1,1,5
qa_76e97240,multi_hop_comparative,4,5,4,5,4,5
qa_6e64b551,multi_hop_comparative,1,1,5,5,5,5
qa_4b223322,multi_hop_comparative,2,3,2,1,1,5
